line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,present_class,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group,meter_scansion_custom,meter_has_restorations,meter_caesura_position,meter_syllables_count,meter_syllables,meter_notes,meter_scansions_match,meter_is_correct,meter_faults,meter_fault_positions,text_samhitapatha_normalized,meter_stem_found,meter_stem_positions,meter_stem_fault_positions,meter_stem_vowel_position,meter_stem_root_vowel_position,meter_stem_fault_position_labels,meter_stem_vowel_position_scansion_expected,meter_stem_root_vowel_position_scansion_expected
10.062.03.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.062,10.062.03,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns,SS LLS LSL SLSL,False,-1,12,"['prá', 'ti', 'gr̥bh', 'ṇī', 'ta', 'mā', 'na', 'váṁ', 'su', 'me', 'dha', 'saḥ']",,True,-1,,[],práti gr̥bhṇīta mānaváṁ sumedhasaḥ,gr̥bhṇī,"[3, 4]",[],4,3,,,
10.062.04.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.062,10.062.04,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns,SS LLS LSL SLSL,False,-1,12,"['prá', 'ti', 'gr̥bh', 'ṇī', 'ta', 'mā', 'na', 'váṁ', 'su', 'me', 'dha', 'saḥ']",,True,-1,,[],práti gr̥bhṇīta mānaváṁ sumedhasaḥ,gr̥bhṇī,"[3, 4]",[],4,3,,,
01.055.02.b,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,1,1.055,01.055.02,b,M,gr̥bhṇāti,2,intermediate,3.SG.PRS.IND.ACT,práti gr̥bhṇāti= víśritāḥ} várīmabhiḥ,práti gr̥bhṇāti víśritā várīmabhiḥ,SS LLS LSL SLSL,Jagatī,S,,55,Indra,Hymns of Savya,"SS LLS ,LS|L SLSL",False,5,12,"['prá', 'ti', 'gr̥bh', 'ṇā', 'ti', 'víś', 'ri', 'tā', 'vá', 'rī', 'ma', 'bhiḥ']",,True,1,,[],práti gr̥bhṇāti víśritā várīmabhiḥ,gr̥bhṇā,"[3, 4]",[],4,3,,X,X
01.163.02.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,1,1.163,01.163.02,c,P,agr̥bhṇāt,4,,3.SG.IPRF.IND.ACT,gandharváḥ asya= raśanā́m} agr̥bhṇāt,gandharvó asya raśanā́m agr̥bhṇāt,LLL LS SSL SLL,,P,"['Grassmann (G)', 'Oldenberg (o)', 'Arnold (C1)', 'Wuest (w)', 'Witzel (z)']",163,Praise of the Horse,"Hymns of Dirghatamas, Son of Ucathya and Mamata",LLL LS SSL_SLL,False,-1,11,"['gan', 'dhar', 'vó', 'as', 'ya', 'ra', 'śa', 'nā́', 'm a', 'gr̥bh', 'ṇāt']",,True,-1,,[],gandharvó asya raśanā́m agr̥bhṇāt,gr̥bhṇā,"[10, 11]",[],11,10,,,
03.030.05.d,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,3,3.03,03.030.05,d,M,saṁgr̥bhṇā́ḥ,2,intermediate,2.SG.PRS.SBJV.ACT,yát saṁgr̥bhṇā́ḥ= maghavan kāśíḥ ít te-_,yát saṁgr̥bhṇā́ maghavan kāśír ít te,L LLL SSL LS L L,,N,,264,Indra,Hymns to Indra,L LLL SSL LS_L L,False,-1,11,"['yát', 'saṁ', 'gr̥bh', 'ṇā́', 'ma', 'gha', 'van', 'kā', 'śí', 'r ít', 'te']",,True,-1,,[],yát saṁgr̥bhṇā́ maghavan kāśír ít te,gr̥bhṇā,"[3, 4]",[],4,3,,,
05.031.07.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,5,5.031,05.031.07,c,M,agr̥bhṇāḥ,5,,2.SG.IPRF.IND.ACT,śúṣṇasya cit= pári māyā́ḥ} agr̥bhṇāḥ,śúṣṇasya cit pári māyā́ agr̥bhṇāḥ,LLS L SS LL SLL,Triṣṭubh,N,,385,Indra,Hymns to Indra,"LLS L ,SS L|L SLL",False,4,11,"['śúṣ', 'ṇas', 'ya', 'cit', 'pá', 'ri', 'mā', 'yā́', 'a', 'gr̥bh', 'ṇāḥ']",,True,1,,[],śúṣṇasya cit pári māyā́ agr̥bhṇāḥ,gr̥bhṇā,"[10, 11]",[],11,10,,X,L
07.101.03.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,7,7.101,07.101.03,c,D,gr̥bhṇāti,4,verse final,3.SG.PRS.IND.ACT,pitúḥ páyaḥ= práti gr̥bhṇāti mātā́,pitúḥ páyaḥ práti gr̥bhṇāti mātā́,SL SL SS LLS LL,Triṣṭubh,C,['Arnold (C1)'],617,Parjanya,Hymns to Parjanya / Appendix,"SL SL ,SS L|LS LL",False,4,11,"['pi', 'túḥ', 'pá', 'yaḥ', 'prá', 'ti', 'gr̥bh', 'ṇā', 'ti', 'mā', 'tā́']",,True,1,,[],pitúḥ páyaḥ práti gr̥bhṇāti mātā́,gr̥bhṇā,"[7, 8]",[],8,7,,L,X
07.103.04.a,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,7,7.103,07.103.04,a,P,gr̥bhṇāti,4,verse final,3.SG.PRS.IND.ACT,anyáḥ anyám= ánu gr̥bhṇāti enoḥ,anyó anyám ánu gr̥bhṇāti enor,LL LS SS LLS LL,Triṣṭubh,P,"['Oldenberg (O)', 'Arnold (C2)', 'Wuest (W)', 'Witzel (Z)']",619,The Frogs,Hymns to Parjanya / Appendix,"LL LS,_SS L|LS LL",False,4,11,"['an', 'yó', 'an', 'yá', 'm á', 'nu', 'gr̥bh', 'ṇā', 'ti', 'e', 'nor']",caesura_position_inside_syllable=True,True,1,,[],anyó anyám ánu gr̥bhṇāti enor,gr̥bhṇā,"[7, 8]",[],8,7,,L,X
09.078.01.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,9,9.078,09.078.01,c,M,gr̥bhṇā́ti,1,intermediate,3.SG.PRS.IND.ACT,gr̥bhṇā́ti riprám= áviḥ asya tā́nvā,gr̥bhṇā́ti riprám ávir asya tā́nuvā,LLS LS SS LS LSL,Jagatī,N,,790,Soma,The Jagati Group,"LLS LS,_SS|_LS LSL",False,5,12,"['gr̥bh', 'ṇā́', 'ti', 'rip', 'rá', 'm á', 'vi', 'r as', 'ya', 'tā́', 'nu', 'vā']",caesura_position_inside_syllable=True,True,1,,[],gr̥bhṇā́ti riprám ávir asya tā́nuvā,gr̥bhṇā,"[1, 2]",[],2,1,,X,X
09.083.04.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,9,9.083,09.083.04,c,M,gr̥bhṇā́ti,1,intermediate,3.SG.PRS.IND.ACT,gr̥bhṇā́ti ripúm= nidháyā} nidhā́patiḥ,gr̥bhṇā́ti ripúṁ nidháyā nidhā́patiḥ,LLS SL SSL SLSL,Jagatī,N,,795,Soma,The Jagati Group,"LLS SL ,SS|L SLSL",False,5,12,"['gr̥bh', 'ṇā́', 'ti', 'ri', 'púṁ', 'ni', 'dhá', 'yā', 'ni', 'dhā́', 'pa', 'tiḥ']",,True,1,,[],gr̥bhṇā́ti ripúṁ nidháyā nidhā́patiḥ,gr̥bhṇā,"[1, 2]",[],2,1,,X,X
10.085.36.a,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.085,10.085.36,a,P,gr̥bhṇā́mi,1,intermediate,1.SG.PRS.IND.ACT,gr̥bhṇā́mi te-_= saubhagatvā́ya hástam,gr̥bhṇā́mi te saubhagatvā́ya hástam,LLS L LSLLS LL,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (O)', 'Arnold (C2)']",911,Wedding Hymn,Hymns of Manyu,"LLS L ,LSL|LS LL",False,4,11,"['gr̥bh', 'ṇā́', 'mi', 'te', 'sau', 'bha', 'gat', 'vā́', 'ya', 'hás', 'tam']",,True,1,,[],gr̥bhṇā́mi te saubhagatvā́ya hástam,gr̥bhṇā,"[1, 2]",[],2,1,,X,X
10.145.04.a,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.145,10.145.04,a,PE1,gr̥bhṇā́mi,4,,1.SG.PRS.IND.ACT,nahí asyā+ nā́ma gr̥bhṇā́mi,nahy a\syā nā́ma gr̥bhṇā́mi,L LL LS LLS,Aṇuṣṭubh,P,,971,Against Rivals in Love,Hymns of Manyu,L_LL L|S LLS,False,-1,8,"['nah', 'y a\\s', 'yā', 'nā́', 'ma', 'gr̥bh', 'ṇā́', 'mi']",,True,0,scansion_cadence=SLLX,[7],nahy a\syā nā́ma gr̥bhṇā́mi,gr̥bhṇā,"[6, 7]",[7],7,6,stem_vowel,S,L
09.079.02.b,junī,weak,jū,,False,V.,Earlier,ninth,jū,9,9.079,09.079.02,b,M,junīmási,5,,1.PL.PRS.IND.ACT,dhánā vā yébhiḥ= árvataḥ} junīmási,dhánā vā yébhir árvato junīmási,SL L LS LSL SLSS,Jagatī,S,,791,Soma,The Jagati Group,"SL L LS,_LS|L SLSS",False,5,12,"['dhá', 'nā', 'vā', 'yé', 'bhi', 'r ár', 'va', 'to', 'ju', 'nī', 'má', 'si']",caesura_position_inside_syllable=True,True,1,,[],dhánā vā yébhir árvato junīmási,junī,"[9, 10]",[],10,9,,L,S
01.027.07.b,junā,strong,jū,,False,V.,Earlier,ninth,jū,1,1.027,01.027.07,b,M,junā́ḥ,4,,2.SG.PRS.SBJV.ACT,ávāḥ vā́jeṣu yám junā́ḥ,ávā vā́jeṣu yáṁ junā́ḥ,SL LLS L SL,Gāyatrī,S,,27,Agni,Hymns of Medhatithi,SL LL|S L SL,False,-1,8,"['á', 'vā', 'vā́', 'je', 'ṣu', 'yáṁ', 'ju', 'nā́ḥ']",,True,1,,[],ávā vā́jeṣu yáṁ junā́ḥ,junā,"[7, 8]",[],8,7,,X,S
01.071.06.d,junā,strong,jū,,False,V.,Earlier,ninth,jū,1,1.071,01.071.06,d,M,junā́si,5,,2.SG.PRS.IND.ACT,yā́sat rāyā́= sarátham yám} junā́si,yā́sad rāyā́ saráthaṁ yáṁ junā́si,LL LL SSL L SLS,Triṣṭubh,N,,71,Agni,"Hymns of Parasa, the Son of Sakti","LL LL ,SSL |L SLS",False,4,11,"['yā́', 'sad', 'rā', 'yā́', 'sa', 'rá', 'thaṁ', 'yáṁ', 'ju', 'nā́', 'si']",,True,1,,[],yā́sad rāyā́ saráthaṁ yáṁ junā́si,junā,"[9, 10]",[],10,9,,L,S
01.186.05.c,junā,strong,jū,,False,V.,Earlier,ninth,jū,1,1.186,01.186.05,c,M,junā́ma,4,,1.PL.PRS.SBJV.ACT,yéna nápātam= apā́m} junā́ma,yéna nápātam apáaṁ junā́ma,LS SLS SSL SLS,Triṣṭubh,A,,186,All the Gods,Hymns of Agastya,"LS SLS,_SS|L SLS",False,5,11,"['yé', 'na', 'ná', 'pā', 'ta', 'm a', 'pá', 'aṁ', 'ju', 'nā́', 'ma']",caesura_position_inside_syllable=True,True,1,,[],yéna nápātam apáaṁ junā́ma,junā,"[9, 10]",[],10,9,,L,S
07.086.07.d,junā,strong,jū,,False,V.,Earlier,ninth,jū,7,7.086,07.086.07,d,M,junāti,4,,3.SG.PRS.IND.ACT,gŕ̥tsam rāyé-_= kavítaraḥ} junāti,gŕ̥tsaṁ rāyé kavítaro junāti,LL LL SSSL SLS,Triṣṭubh,S,,602,Varuna,Hymns to Varuna,"LL LL ,SSS|L SLS",False,4,11,"['gŕ̥t', 'saṁ', 'rā', 'yé', 'ka', 'ví', 'ta', 'ro', 'ju', 'nā', 'ti']",,True,1,,[],gŕ̥tsaṁ rāyé kavítaro junāti,junā,"[9, 10]",[],10,9,,L,S
05.034.05.c,jinā,strong,jī,,False,,Earlier,ninth,jyā,5,5.034,05.034.05,c,M,jinā́ti,1,intermediate,3.SG.PRS.IND.ACT,jinā́ti vā ít= amuyā́ hánti vā dhúniḥ,jinā́ti véd amuyā́ hánti vā dhúnir,SLS L SSL LS L SL,Jagatī,N,,388,Indra,Hymns to Indra,"SLS L,_SSL |LS L SL",False,4,12,"['ji', 'nā́', 'ti', 'vé', 'd a', 'mu', 'yā́', 'hán', 'ti', 'vā', 'dhú', 'nir']",caesura_position_inside_syllable=True,True,1,,[],jinā́ti véd amuyā́ hánti vā dhúnir,jinā,"[1, 2]",[],2,1,,X,X
09.055.04.a,jinā,strong,jī,,False,,Earlier,ninth,jyā,9,9.055,09.055.04,a,MO,jinā́ti,2,intermediate,3.SG.PRS.IND.ACT,yáḥ jinā́ti ná jī́yate?_,yó jinā́ti ná jī́yate,L SLS S LSL,Gāyatrī,N,,767,Soma,Tirasci and Other Poets,L SLS |S LSL,False,-1,8,"['yó', 'ji', 'nā́', 'ti', 'ná', 'jī́', 'ya', 'te']",,True,1,,[],yó jinā́ti ná jī́yate,jinā,"[2, 3]",[],3,2,,X,X
10.027.04.c,jinā,strong,jī,,False,,Earlier,ninth,jyā,10,10.027,10.027.04,c,P,jinā́mi,1,intermediate,1.SG.PRS.IND.ACT,jinā́mi vā ít= kṣéme-_ ā́ sántam ābhúm,jinā́mi vét kṣéma ā́ sántam ābhúm,SLS L LS L LS LL,Triṣṭubh,P,['Arnold (C1)'],853,Indra,The Vasukra Hymns,"SLS L ,LS L |LS_LL",False,4,11,"['ji', 'nā́', 'mi', 'vét', 'kṣé', 'ma', 'ā́', 'sán', 'ta', 'm ā', 'bhúm']",,True,1,,[],jinā́mi vét kṣéma ā́ sántam ābhúm,jinā,"[1, 2]",[],2,1,,X,X
01.023.21.a,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,1,1.023,01.023.21,a,P,pr̥ṇītá,2,verse final,2.PL.PRS.IMP.ACT,ā́paḥ pr̥ṇītá bheṣajám,ā́paḥ pr̥ṇītá bheṣajáṁ,LL SLS LSL,Gāyatrī,P,"['Oldenberg (O)', 'Arnold (C1)', 'Wuest (W)']",23,Diverse Gods,Hymns of Medhatithi,LL SL|S LSL,False,-1,8,"['ā́', 'paḥ', 'pr̥', 'ṇī', 'tá', 'bhe', 'ṣa', 'jáṁ']",,True,1,,[],ā́paḥ pr̥ṇītá bheṣajáṁ,pr̥ṇī,"[3, 4]",[],4,3,,X,X
05.005.05.c,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,5,5.005,05.005.05,c,M,pr̥ṇītana,3,,2.PL.PRS.IMP.ACT,prá-pra yajñám pr̥ṇītana,prá-pra yajñám pr̥ṇītana,LS LL SLSS,Gāyatrī,C,,359,Apri Hymn,Hymns to Agni,LS LL |SLSS,True,-1,8,"['práp', 'ra', 'yaj', 'ñám', 'pr̥', 'ṇī', 'ta', 'na']",,True,1,,[],prápra yajñám pr̥ṇītana,pr̥ṇī,"[5, 6]",[],6,5,,L,S
07.065.04.d,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,7,7.065,07.065.04,d,M,pr̥ṇītám,1,intermediate,2.DU.PRS.IMP.ACT,pr̥ṇītám udnáḥ= divyásya cā́roḥ,pr̥ṇītám udnó diviyásya cā́roḥ,SLS LL SSLS LL,Triṣṭubh,S,,581,Mitra and Varuna,Hymns to Mitra and Varuna,"SLS_LL ,SS|LS LL",False,5,11,"['pr̥', 'ṇī', 'tá', 'm ud', 'nó', 'di', 'vi', 'yás', 'ya', 'cā́', 'roḥ']",,True,1,,[],pr̥ṇītám udnó diviyásya cā́roḥ,pr̥ṇī,"[1, 2]",[],2,1,,X,X
10.009.07.a,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.009,10.009.07,a,PR,pr̥ṇītá,2,verse final,2.PL.PRS.IMP.ACT,ā́paḥ pr̥ṇītá bheṣajám,ā́paḥ pr̥ṇītá bheṣajáṁ,LL SLS LSL,Gāyatrī,P,['Wuest (W)'],835,The Waters,Hymns of Trita Aptya,LL SL|S LSL,False,-1,8,"['ā́', 'paḥ', 'pr̥', 'ṇī', 'tá', 'bhe', 'ṣa', 'jáṁ']",,True,1,,[],ā́paḥ pr̥ṇītá bheṣajáṁ,pr̥ṇī,"[3, 4]",[],4,3,,X,X
10.117.05.a,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.117,10.117.05,a,P,pr̥ṇīyā́t,1,intermediate,3.SG.PRS.OPT.ACT,pr̥ṇīyā́t ít= nā́dhamānāya távyān,pr̥ṇīyā́d ín nā́dhamānāya távyān,SLL L LSLLS LL,Triṣṭubh,P,['Arnold (C1)'],943,Praise of Charity,Hymns of Manyu,"SLL_L ,LSL|LS LL",False,4,11,"['pr̥', 'ṇī', 'yā́', 'd ín', 'nā́', 'dha', 'mā', 'nā', 'ya', 'táv', 'yān']",,True,1,,[],pr̥ṇīyā́d ín nā́dhamānāya távyān,pr̥ṇī,"[1, 2]",[],2,1,,X,X
10.117.09.d,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.117,10.117.09,d,P,pr̥ṇītaḥ,6,,3.DU.PRS.IND.ACT,jñātī́+_ cit sántau= ná samám} pr̥ṇītaḥ,jñātī́ cit sántau ná samám pr̥ṇītaḥ,LL L LL S SL SLL,Triṣṭubh,P,['Arnold (C1)'],943,Praise of Charity,Hymns of Manyu,"LL L LL ,S S|L SLL",False,5,11,"['jñā', 'tī́', 'cit', 'sán', 'tau', 'ná', 'sa', 'mám', 'pr̥', 'ṇī', 'taḥ']",,True,1,,[],jñātī́ cit sántau ná samám pr̥ṇītaḥ,pr̥ṇī,"[9, 10]",[],10,9,,L,S
01.125.05.b,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,1,1.125,01.125.05,b,M,pr̥ṇā́ti,2,intermediate,3.SG.PRS.IND.ACT,yáḥ pr̥ṇā́ti= sá ha devéṣu gacchati,yáḥ pr̥ṇā́ti sá ha devéṣu gachati,L SLS S S LLS LSS,Jagatī,C,"['Grassmann (G)', 'Oldenberg (o)']",125,Praise of the Generous Sacrificer,"Hymns of Kaksivat, the Son of Dirghatamas and Usij","L SLS ,S S L|LS LSS",False,4,12,"['yáḥ', 'pr̥', 'ṇā́', 'ti', 'sá', 'ha', 'de', 'vé', 'ṣu', 'gac', 'cha', 'ti']",caesura_position_alt=5,True,1,,[],yáḥ pr̥ṇā́ti sá ha devéṣu gacchati,pr̥ṇā,"[2, 3]",[],3,2,,X,X
