01.001.01a | agním īḷe puróhitaṁ
01.003.04b | sutā́ imé tuvāyávaḥ
01.003.04c | áṇvībhis tánā pūtā́saḥ

01.003.05a | índrā́ yāhi dhiyéṣitó
01.003.05b | víprajūtaḥ sutā́vataḥ
01.003.05c | úpa bráhmāṇi vāghátaḥ

01.003.06a | índrā́ yāhi tū́tujāna
01.003.06b | úpa bráhmāṇi harivaḥ
01.003.06c | suté dadhiṣva naś cánaḥ

01.003.07a | ómāsaś carṣaṇīdhr̥to
01.003.07b | víśve devāsa ā́ gata
01.003.07c | dāśvā́ṁso dāśúṣaḥ sutám

01.003.08a | víśve devā́so aptúraḥ
01.003.08b | sutám ā́ ganta tū́rṇayaḥ
01.003.08c | usrā́ iva svásarāṇi

01.003.09a | víśve devā́so asrídha
01.003.09b | éhimāyāso adrúhaḥ
01.003.09c | médhaṁ juṣanta váhnayaḥ

01.003.10a | pavākā́+ naḥ sárasvatī
01.003.10b | vā́jebhir vājínīvatī
01.003.10c | yajñáṁ vaṣṭu dhiyā́vasuḥ

01.003.11a | codayitrī́ sūnŕ̥tānāṁ
01.003.11b | cétantī sumatīnáam
01.003.11c | yajñáṁ dadhe sárasvatī

01.003.12a | mahó árṇaḥ sárasvatī
01.003.12b | prá cetayati ketúnā
01.003.12c | dhíyo víśvā ví rājati

01.004.01a | surūpakr̥tnúm ūtáye
01.004.01b | sudúghām iva godúhe
01.004.01c | juhūmási dyávi-dyavi

01.004.02a | úpa naḥ sávanā́ gahi
01.004.02b | sómasya somapāḥ piba
01.004.02c | godā́ íd reváto mádaḥ

01.004.03a | áthā te ántamānaaṁ
01.004.03b | vidyā́ma sumatīnáam
01.004.03c | mā́ no áti khya ā́ gahi

01.004.04a | párehi vígram ástr̥tam
01.004.04b | índram pr̥chā vipaścítam
01.004.04c | yás te sákhibhya ā́ váram

01.004.05a | utá bruvantu no nído
01.004.05b | nír anyátaś cid ārata
01.004.05c | dádhānā índra íd dúvaḥ

01.004.06a | utá naḥ subhágām̐ arír
01.004.06b | vocéyur dasma kr̥ṣṭáyaḥ
01.004.06c | syā́méd índrasya śármaṇi

01.004.07a | ém āśúm āśáve bhara
01.004.07b | yajñaśríyaṁ nr̥mā́danam
01.004.07c | patayán mandayátsakham

01.004.08a | asyá pītvā́ śatakrato
01.004.08b | ghanó vr̥trā́ṇām abhavaḥ
01.004.08c | prā́vo vā́jeṣu vājínam

01.004.09a | táṁ tvā vā́jeṣu vājínaṁ
01.004.09b | vājáyāmaḥ śatakrato
01.004.09c | dhánānām indra sātáye

01.004.10a | yó rāyó avánir mahā́n
01.004.10b | supāráḥ sunvatáḥ sákhā
01.004.10c | tásmā índrāya gāyata

01.005.01a | ā́ tu étā ní ṣīdata
01.005.01b | índram abhí prá gāyata
01.005.01c | sákhāya stómavāhasaḥ

01.005.02a | purūtámam purūṇáam
01.005.02b | ī́śānaṁ vā́riyāṇaam
01.005.02c | índraṁ sóme sácā suté

01.005.03a | sá ghā no yóga ā́ bhuvat
01.005.03b | sá rāyé sá púraṁdhiyām
01.005.03c | gámad vā́jebhir ā́ sá naḥ

01.005.04a | yásya saṁsthé ná vr̥ṇváte
01.005.04b | hársamátsu śátravaḥ
01.005.04c | tásmā índrāya gāyata

01.005.05a | sutapā́vne sutā́ imé
01.005.05b | śúcayo yanti vītáye
01.005.05c | sómāso dádhiāśiraḥ

01.005.06a | tuváṁ sutásya pītáye
01.005.06b | sadyó vr̥ddhó ajāyathāḥ
01.005.06c | índra jyaíṣṭhyāya sukrato

01.005.07a | ā́ tvā viśantu āśávaḥ
01.005.07b | sómāsa indra girvaṇaḥ
01.005.07c | śáṁ te santu prácetase

01.005.08a | tuvā́ṁ stómā avīvr̥dhan
01.005.08b | tuvā́m ukthā́ śatakrato
01.005.08c | tuvā́ṁ vardhantu no gíraḥ

01.005.09a | ákṣitotiḥ saned imáṁ
01.005.09b | vā́jam índraḥ sahasríṇam
01.005.09c | yásmin víśvāni paúṁsiyā

01.005.10a | mā́ no mártā abhí druhan
01.005.10b | tanū́nām indra girvaṇaḥ
01.005.10c | ī́śāno yavayā vadhám

01.006.01a | yuñjánti bradhnám aruṣáṁ
01.006.01b | cárantam pári tasthúṣaḥ
01.006.01c | rócante rocanā́ diví

01.006.02a | yuñjánti asya kā́miyā
01.006.02b | hárī vípakṣasā ráthe
01.006.02c | śóṇā dhr̥ṣṇū́ nr̥vā́hasā

01.006.03a | ketúṁ kr̥ṇvánn aketáve
01.006.03b | péśo maryā apeśáse
01.006.03c | sám uṣádbhir ajāyathāḥ

01.006.04a | áad áha svadhā́m ánu
01.006.04b | púnar garbhatvám eriré
01.006.04c | dádhānā nā́ma yajñíyam

01.006.05a | vīḷú cid ārujatnúbhir
01.006.05b | gúhā cid indra váhnibhiḥ
01.006.05c | ávinda usríyā ánu

01.006.06a | devayánto yáthā matím
01.006.06b | áchā vidádvasuṁ gíraḥ
01.006.06c | mahā́m anūṣata śrutám

01.006.07a | índreṇa sáṁ hí dŕ̥kṣase
01.006.07b | saṁjagmānó ábibhyuṣā
01.006.07c | mandū́ samānávarcasā

01.006.08a | anavadyaír abhídyubhir
01.006.08b | makháḥ sáhasvad arcati
01.006.08c | gaṇaír índrasya kā́miyaiḥ

01.006.09a | átaḥ parijman ā́ gahi
01.006.09b | divó vā rocanā́d ádhi
01.006.09c | sám asminn r̥ñjate gíraḥ

01.006.10a | itó vā sātím ī́mahe
01.006.10b | divó vā pā́rthivād ádhi
01.006.10c | índram mahó vā rájasaḥ

01.007.01a | índram íd gāthíno br̥hád
01.007.01b | índram arkébhir arkíṇaḥ
01.007.01c | índraṁ vā́ṇīr anūṣata

01.007.02a | índra íd dháriyoḥ sácā
01.007.02b | sámmiśla ā́ vacoyújā
01.007.02c | índro vajrī́ hiraṇyáyaḥ

01.007.03a | índro dīrghā́ya cákṣasa
01.007.03b | ā́ sū́ryaṁ rohayad diví
01.007.03c | ví góbhir ádrim airayat

01.007.04a | índra vā́jeṣu no ava
01.007.04b | sahásrapradhaneṣu ca
01.007.04c | ugrá ugrā́bhir ūtíbhiḥ

01.007.05a | índraṁ vayám mahādhaná
01.007.05b | índram árbhe havāmahe
01.007.05c | yújaṁ vr̥tréṣu vajríṇam

01.007.06a | sá no vr̥ṣann amúṁ carúṁ
01.007.06b | sátrādāvann ápā vr̥dhi
01.007.06c | asmábhyam ápratiṣkutaḥ

01.007.07a | tuñjé-tuñje yá úttare
01.007.07b | stómā índrasya vajríṇaḥ
01.007.07c | ná vindhe asya suṣṭutím

01.007.08a | vŕ̥ṣā yūthéva váṁsagaḥ
01.007.08b | kr̥ṣṭī́r iyarti ójasā
01.007.08c | ī́śāno ápratiṣkutaḥ

01.007.09a | yá ékaś carṣaṇīnáaṁ
01.007.09b | vásūnaam irajyáti
01.007.09c | índraḥ páñca kṣitīnáam

01.007.10a | índraṁ vo viśvátas pári
01.007.10b | hávāmahe jánebhiyaḥ
01.007.10c | asmā́kam astu kévalaḥ

01.008.01a | ā́ indra sānasíṁ rayíṁ
01.008.01b | sajítvānaṁ sadāsáham
01.008.01c | várṣiṣṭham ūtáye bhara

01.008.02a | ní yéna muṣṭihatyáyā
01.008.02b | ní vr̥trā́ ruṇádhāmahai
01.008.02c | tuvótāso ní árvatā

01.008.03a | índra tvótāsa ā́ vayáṁ
01.008.03b | vájraṁ ghanā́ dadīmahi
01.008.03c | jáyema sáṁ yudhí spŕ̥dhaḥ

01.008.04a | vayáṁ śū́rebhir ástr̥bhir
01.008.04b | índra tváyā yujā́ vayám
01.008.04c | sāsahyā́ma pr̥tanyatáḥ

01.008.05a | mahā́m̐ índraḥ paráś ca nú
01.008.05b | mahitvám astu vajríṇe
01.008.05c | diyaúr ná prathinā́ śávaḥ

01.008.06a | samohé vā yá ā́śata
01.008.06b | náras tokásya sánitau
01.008.06c | víprāso vā dhiyāyávaḥ

01.008.07a | yáḥ kukṣíḥ somapā́tamaḥ
01.008.07b | samudrá iva pínvate
01.008.07c | urvī́r ā́po ná kākúdaḥ

01.008.08a | evā́ hí asya sūnŕ̥tā
01.008.08b | virapśī́ gómatī mahī́
01.008.08c | pakvā́ śā́khā ná dāśúṣe

01.008.09a | evā́ hí te víbhūtaya
01.008.09b | ūtáya indra mā́vate
01.008.09c | sadyáś cit sánti dāśúṣe

01.008.10a | evā́ hí asya kā́miyā
01.008.10b | stóma uktháṁ ca śáṁsiyā
01.008.10c | índrāya sómapītaye

01.009.01a | índréhi mátsi ándhaso
01.009.01b | víśvebhiḥ somapárvabhiḥ
01.009.01c | mahā́m̐ abhiṣṭír ójasā

01.009.02a | ém enaṁ sr̥jatā suté
01.009.02b | mandím índrāya mandíne
01.009.02c | cákriṁ víśvāni cákraye

01.009.03a | mátsvā suśipra mandíbhi
01.009.03b | stómebhir viśvacarṣaṇe
01.009.03c | sácaiṣú sávaneṣu ā́

01.009.04a | ásr̥gram indra te gíraḥ
01.009.04b | práti tvā́m úd ahāsata
01.009.04c | ájoṣā vr̥ṣabhám pátim

01.009.05a | sáṁ codaya citrám arvā́g
01.009.05b | rā́dha indra váreṇiyam
01.009.05c | ásad ít te vibhú prabhú

01.009.06a | asmā́n sú tátra codaya
01.009.06b | índra rāyé rábhasvataḥ
01.009.06c | túvidyumna yáśasvataḥ

01.009.07a | sáṁ gómad indra vā́javad
01.009.07b | asmé pr̥thú śrávo br̥hát
01.009.07c | viśvā́yur dhehi ákṣitam

01.009.08a | asmé dhehi śrávo br̥hád
01.009.08b | dyumnáṁ sahasrasā́tamam
01.009.08c | índra tā́ rathínīr íṣaḥ

01.009.09a | vásor índraṁ vásupatiṁ
01.009.09b | gīrbhír gr̥ṇánta r̥gmíyam
01.009.09c | hóma gántāram ūtáye

01.009.10a | suté-sute níokase
01.009.10b | br̥hád br̥hatá éd aríḥ
01.009.10c | índrāya śūṣám arcati

01.010.01a | gā́yanti tvā gāyatríṇo
01.010.01b | árcanti arkám arkíṇaḥ
01.010.01c | brahmā́ṇas tvā śatakrata
01.010.01d | úd vaṁśám iva yemire

01.010.02a | yát sā́noḥ sā́num ā́ruhad
01.010.02b | bhū́ri áspaṣṭa kártuvam
01.010.02c | tád índro árthaṁ cetati
01.010.02d | yūthéna vr̥ṣṇír ejati

01.010.03a | yukṣvā́ hí keśínā hárī
01.010.03b | vŕ̥ṣaṇā kakṣiyapráa
01.010.03c | áthā na indra somapā
01.010.03d | girā́m úpaśrutiṁ cara

01.010.04a | éhi stómām̐ abhí svara
01.010.04b | abhí gr̥ṇīhi ā́ ruva
01.010.04c | bráhma ca no vaso sácā
01.010.04d | índra yajñáṁ ca vardhaya

01.010.05a | ukthám índrāya śáṁsiyaṁ
01.010.05b | várdhanam puruniṣṣídhe
01.010.05c | śakró yáthā sutéṣu ṇo
01.010.05d | rāráṇat sakhiyéṣu ca

01.010.06a | tám ít sakhitvá īmahe
01.010.06b | táṁ rāyé táṁ suvī́riye
01.010.06c | sá śakrá utá naḥ śakad
01.010.06d | índro vásu dáyamānaḥ

01.010.07a | suvivŕ̥taṁ sunirájam
01.010.07b | índra tvā́dātam íd yáśaḥ
01.010.07c | gávām ápa vrajáṁ vr̥dhi
01.010.07d | kr̥ṇuṣvá rā́dho adrivaḥ

01.010.08a | nahí tvā ródasī ubhé
01.010.08b | r̥ghāyámāṇam ínvataḥ
01.010.08c | jéṣaḥ súvarvatīr apáḥ
01.010.08d | sáṁ gā́ asmábhya@ dhūnuhi

01.010.09a | ā́śrutkarṇa śrudhī́ hávaṁ
01.010.09b | nū́ cid dadhiṣva me gíraḥ
01.010.09c | índra stómam imám máma
01.010.09d | kr̥ṣvā́ yujáś cid ántaram

01.010.10a | vidmā́ hí tvā vŕ̥ṣantamaṁ
01.010.10b | vā́jeṣu havanaśrútam
01.010.10c | vŕ̥ṣantamasya hūmaha
01.010.10d | ūtíṁ sahasrasā́tamām

01.010.11a | ā́ tū́ na indra kauśika
01.010.11b | mandasānáḥ sutám piba
01.010.11c | návyam ā́yuḥ prá sū́ tira
01.010.11d | kr̥dhī́ sahasrasā́m ŕ̥ṣim

01.010.12a | pári tvā girvaṇo gíra
01.010.12b | imā́ bhavantu viśvátaḥ
01.010.12c | vr̥ddhā́yum ánu vŕ̥ddhayo
01.010.12d | júṣṭā bhavantu júṣṭayaḥ

01.011.01a | índraṁ víśvā avīvr̥dhan
01.011.01b | samudrávyacasaṁ gíraḥ
01.011.01c | rathī́tamaṁ rathī́naaṁ
01.011.01d | vā́jānāṁ sátpatim pátim

01.011.02a | sakhyé ta indra vājíno
01.011.02b | mā́ bhema śavasas pate
01.011.02c | tuvā́m abhí prá ṇonumo
01.011.02d | jétāram áparājitam

01.011.03a | pūrvī́r índrasya rātáyo
01.011.03b | ná ví dasyanti ūtáyaḥ
01.011.03c | yádī vā́jasya gómata
01.011.03d | stotŕ̥bhyo máṁhate maghám

01.011.04a | purā́m bhindúr yúvā kavír
01.011.04b | ámitaujā ajāyata
01.011.04c | índro víśvasya kármaṇo
01.011.04d | dhartā́ vajrī́ puruṣṭutáḥ

01.011.05a | tuváṁ valásya gómato
01.011.05b | ápāvar adrivo bílam
01.011.05c | tuvā́ṁ devā́ ábibhyuṣas
01.011.05d | tujyámānāsa āviṣuḥ

01.011.06a | távāháṁ śūra rātíbhiḥ
01.011.06b | práty āyaṁ síndhum āvádan
01.011.06c | úpātiṣṭhanta girvaṇo
01.011.06d | vidúṣ ṭe tásya kārávaḥ

01.011.07a | māyā́bhir indra māyínaṁ
01.011.07b | tuváṁ śúṣṇam ávātiraḥ
01.011.07c | vidúṣ ṭe tásya médhirās
01.011.07d | téṣāṁ śrávāṁsi út tira

01.011.08a | índram ī́śānam ójasā
01.011.08b | abhí stómā anūṣata
01.011.08c | sahásraṁ yásya rātáya
01.011.08d | utá vā sánti bhū́yasīḥ

01.012.01a | agníṁ dūtáṁ vr̥ṇīmahe
01.012.01b | hótāraṁ viśvávedasam
01.012.01c | asyá yajñásya sukrátum

01.012.02a | agním-agniṁ hávīmabhiḥ
01.012.02b | sádā havanta viśpátim
01.012.02c | havyavā́ham purupriyám

01.012.03a | ágne devā́m̐ ihā́ vaha
01.012.03b | jajñānó vr̥ktábarhiṣe
01.012.03c | ási hótā na ī́ḍiyaḥ

01.012.04a | tā́m̐ uśató ví bodhaya
01.012.04b | yád agne yā́si dūtíyam
01.012.04c | devaír ā́ satsi barhíṣi

01.012.05a | ghŕ̥tāhavana dīdivaḥ
01.012.05b | práti ṣma ríṣato daha
01.012.05c | ágne tuváṁ rakṣasvínaḥ

01.012.06a | agnínāgníḥ sám idhyate
01.012.06b | kavír gr̥hápatir yúvā
01.012.06c | havyavā́ḍ juhúvāsiyaḥ

01.012.07a | kavím agním úpa stuhi
01.012.07b | satyádharmāṇam adhvaré
01.012.07c | devám amīvacā́tanam

01.012.08a | yás tvā́m agne havíṣpatir
01.012.08b | dūtáṁ deva saparyáti
01.012.08c | tásya sma prāvitā́ bhava

01.012.09a | yó agníṁ devávītaye
01.012.09b | havíṣmām̐ āvívāsati
01.012.09c | tásmai pavāka+ mr̥r̥ḷaya+

01.012.10a | sá naḥ pavāka+ dīdivo
01.012.10b | ágne devā́m̐ ihā́ vaha
01.012.10c | úpa yajñáṁ havíś ca naḥ

01.012.11a | sá na stávāna ā́ bhara
01.012.11b | gāyatréṇa návīyasā
01.012.11c | rayíṁ vīrávatīm íṣam

01.012.12a | ágne śukréṇa śocíṣā
01.012.12b | víśvābhir deváhūtibhiḥ
01.012.12c | imáṁ stómaṁ juṣasva naḥ

01.013.01a | súsamiddho na ā́ vaha
01.013.01b | devā́m̐ agne havíṣmate
01.013.01c | hótaḥ pavāka+ yákṣi ca

01.013.02a | mádhumantaṁ tanūnapād
01.013.02b | yajñáṁ devéṣu naḥ kave
01.013.02c | adyā́ kr̥ṇuhi vītáye

01.013.03a | nárāśáṁsam ihá priyám
01.013.03b | asmín yajñá úpa hvaye
01.013.03c | mádhujihvaṁ haviṣkŕ̥tam

01.013.04a | ágne sukhátame ráthe
01.013.04b | devā́m̐ īḷitá ā́ vaha
01.013.04c | ási hótā mánurhitaḥ

01.013.05a | str̥ṇītá barhír ānuṣág
01.013.05b | ghr̥tápr̥ṣṭham manīṣiṇaḥ
01.013.05c | yátrāmŕ̥tasya cákṣaṇam

01.013.06a | ví śrayantām r̥tāvŕ̥dho
01.013.06b | dvā́ro devī́r asaścátaḥ
01.013.06c | adyā́ nūnáṁ ca yáṣṭave

01.013.07a | náktoṣā́sā supéśasā
01.013.07b | asmín yajñá úpa hvaye
01.013.07c | idáṁ no barhír āsáde

01.013.08a | tā́ sujihvā́ úpa hvaye
01.013.08b | hótārā daíviyā kavī́
01.013.08c | yajñáṁ no yakṣatām imám

01.013.09a | íḷā sárasvatī mahī́
01.013.09b | tisró devī́r mayobhúvaḥ
01.013.09c | barhíḥ sīdantu asrídhaḥ

01.013.10a | ihá tváṣṭāram agriyáṁ
01.013.10b | viśvárūpam úpa hvaye
01.013.10c | asmā́kam astu kévalaḥ

01.013.11a | áva sr̥jā vanaspate
01.013.11b | déva devébhiyo havíḥ
01.013.11c | prá dātúr astu cétanam

01.013.12a | svā́hā yajñáṁ kr̥ṇotana
01.013.12b | índrāya yájvano gr̥hé
01.013.12c | tátra devā́m̐ úpa hvaye

01.014.01a | aíbhir agne dúvo gíro
01.014.01b | víśvebhiḥ sómapītaye
01.014.01c | devébhir yāhi yákṣi ca

01.014.02a | ā́ tvā káṇvā ahūṣata
01.014.02b | gr̥ṇánti vipra te dhíyaḥ
01.014.02c | devébhir agna ā́ gahi

01.014.03a | indravāyū́ bŕ̥haspátim
01.014.03b | mitrā́gním pūṣáṇam bhágam
01.014.03c | ādityā́n mā́rutaṁ gaṇám

01.014.04a | prá vo bhriyanta índavo
01.014.04b | matsarā́ mādayiṣṇávaḥ
01.014.04c | drapsā́ mádhvaś camūṣádaḥ

01.014.05a | ī́ḷate tvā́m avasyávaḥ
01.014.05b | káṇvāso vr̥ktábarhiṣaḥ
01.014.05c | havíṣmanto araṁkŕ̥taḥ

01.014.06a | ghr̥tápr̥ṣṭhā manoyújo
01.014.06b | yé tvā váhanti váhnayaḥ
01.014.06c | ā́ devā́n sómapītaye

01.014.07a | tā́n yájatrām̐ r̥tāvŕ̥dho
01.014.07b | ágne pátnīvatas kr̥dhi
01.014.07c | mádhvaḥ sujihva pāyaya

01.014.08a | yé yájatrā yá ī́ḍiyās
01.014.08b | té te pibantu jihváyā
01.014.08c | mádhor agne váṣaṭkr̥ti

01.014.09a | ā́kīṁ sū́ryasya rocanā́d
01.014.09b | víśvān devā́m̐ uṣarbúdhaḥ
01.014.09c | vípro hótehá vakṣati

01.014.10a | víśvebhiḥ somiyám mádhu
01.014.10b | ágna índreṇa vāyúnā
01.014.10c | píbā mitrásya dhā́mabhiḥ

01.014.11a | tuváṁ hótā mánurhito
01.014.11b | ágne yajñéṣu sīdasi
01.014.11c | sémáṁ no adhvaráṁ yaja

01.014.12a | yukṣvā́ hí áruṣī ráthe
01.014.12b | haríto deva rohítaḥ
01.014.12c | tā́bhir devā́m̐ ihā́ vaha

01.015.01a | índra sómam píba rtúnā
01.015.01b | ā́ tvā viśantu índavaḥ
01.015.01c | matsarā́sas tádokasaḥ

01.015.02a | márutaḥ píbata rtúnā
01.015.02b | potrā́d yajñám punītana
01.015.02c | yūyáṁ hí ṣṭhā́ sudānavaḥ

01.015.03a | abhí yajñáṁ gr̥ṇīhi no
01.015.03b | gnā́vo néṣṭaḥ píba rtúnā
01.015.03c | tuváṁ hí ratnadhā́ ási

01.015.04a | ágne devā́m̐ ihā́ vaha
01.015.04b | sādáyā yóniṣu triṣú
01.015.04c | pári bhūṣa píba rtúnā

01.015.05a | brā́hmaṇād indra rā́dhasaḥ
01.015.05b | píbā sómam r̥tū́m̐r ánu
01.015.05c | távéd dhí sakhyám ástr̥tam

01.015.06a | yuváṁ dákṣaṁ dhr̥tavrata
01.015.06b | mítrāvaruṇa dūḷábham
01.015.06c | r̥túnā yajñám āśathe@

01.015.07a | draviṇodā́ dráviṇaso
01.015.07b | grā́vahastāso adhvaré
01.015.07c | yajñéṣu devám īḷate

01.015.08a | draviṇodā́ dadātu no
01.015.08b | vásūni yā́ni śr̥ṇviré
01.015.08c | devéṣu tā́ vanāmahe

01.015.09a | draviṇodā́ḥ pipīṣati
01.015.09b | juhóta prá ca tiṣṭhata
01.015.09c | neṣṭrā́d r̥túbhir iṣyata

01.015.10a | yát tvā turī́yam r̥túbhir
01.015.10b | dráviṇodo yájāmahe
01.015.10c | ádha smā no dadír bhava

01.015.11a | áśvinā píbatam mádhu
01.015.11b | dī́diagnī śucivratā
01.015.11c | r̥túnā yajñavāhasā

01.015.12a | gā́rhapatyena santiya
01.015.12b | r̥túnā yajñanī́r asi
01.015.12c | devā́n devayaté yaja

01.016.01a | ā́ tvā vahantu hárayo
01.016.01b | vŕ̥ṣaṇaṁ sómapītaye
01.016.01c | índra tvā sū́racakṣasaḥ

01.016.02a | imā́ dhānā́ ghr̥tasnúvo
01.016.02b | hárī ihópa vakṣataḥ
01.016.02c | índraṁ sukhátame ráthe

01.016.03a | índram prātár havāmaha
01.016.03b | índram prayatí adhvaré
01.016.03c | índraṁ sómasya pītáye

01.016.04a | úpa naḥ sutám ā́ gahi
01.016.04b | háribhir indra keśíbhiḥ
01.016.04c | suté hí tvā hávāmahe

01.016.05a | sémáṁ na stómam ā́ gahi
01.016.05b | úpedáṁ sávanaṁ sutám
01.016.05c | gauró ná tr̥ṣitáḥ piba

01.016.06a | imé sómāsa índavaḥ
01.016.06b | sutā́so ádhi barhíṣi
01.016.06c | tā́m̐ indra sáhase piba

01.016.07a | ayáṁ te stómo agriyó
01.016.07b | hr̥dispŕ̥g astu śáṁtamaḥ
01.016.07c | áthā sómaṁ sutám piba

01.016.08a | víśvam ít sávanaṁ sutám
01.016.08b | índro mádāya gachati
01.016.08c | vr̥trahā́ sómapītaye

01.016.09a | sémáṁ naḥ kā́mam ā́ pr̥ṇa
01.016.09b | góbhir áśvaiḥ śatakrato
01.016.09c | stávāma tvā suādhíyaḥ

01.017.01a | índrāváruṇayor aháṁ
01.017.01b | samrā́jor áva ā́ vr̥ṇe
01.017.01c | tā́ no mr̥r̥ḷāta+ īdŕ̥śe

01.017.02a | gántārā hí stho ávase
01.017.02b | hávaṁ víprasya mā́vataḥ
01.017.02c | dhartā́rā carṣaṇīnáam

01.017.03a | anukāmáṁ tarpayethām
01.017.03b | índrāvaruṇa rāyá ā́
01.017.03c | tā́ vāṁ nédiṣṭham īmahe

01.017.04a | yuvā́ku hí śácīnaaṁ
01.017.04b | yuvā́ku sumatīnáam
01.017.04c | bhūyā́ma vājadā́vnaam

01.017.05a | índraḥ sahasradā́vnaaṁ
01.017.05b | váruṇaḥ śáṁsiyānaam
01.017.05c | krátur bhavati ukthíyaḥ

01.017.06a | táyor íd ávasā vayáṁ
01.017.06b | sanéma ní ca dhīmahi
01.017.06c | siyā́d utá prarécanam

01.017.07a | índrāvaruṇa vām aháṁ
01.017.07b | huvé citrā́ya rā́dhase
01.017.07c | asmā́n sú jigyúṣas kr̥tam

01.017.08a | índrāvaruṇa nū́ nú vāṁ
01.017.08b | síṣāsantīṣu dhīṣú ā́
01.017.08c | asmábhyaṁ śárma yachatam

01.017.09a | prá vām aśnotu suṣṭutír
01.017.09b | índrāvaruṇa yā́ṁ huvé
01.017.09c | yā́m r̥dhā́the sadhástutim

01.018.01a | somā́naṁ suáraṇaṁ
01.018.01b | kr̥ṇuhí brahmaṇas pate
01.018.01c | kakṣī́vantaṁ yá auśijáḥ

01.018.02a | yó revā́n yó amīvahā́
01.018.02b | vasuvít puṣṭivárdhanaḥ
01.018.02c | sá naḥ siṣaktu yás turáḥ

01.018.03a | mā́ naḥ śáṁso áraruṣo
01.018.03b | dhūrtíḥ práṇaṅ mártiyasya
01.018.03c | rákṣā ṇo brahmaṇas pate

01.018.04a | sá ghā vīró ná riṣyati
01.018.04b | yám índro bráhmaṇas pátiḥ
01.018.04c | sómo hinóti mártiyam

01.018.05a | tuváṁ tám brahmaṇas pate
01.018.05b | sóma índraś ca mártiyam
01.018.05c | dákṣiṇā pātu áṁhasaḥ

01.018.06a | sádasas pátim ádbhutam
01.018.06b | priyám índrasya kā́miyam
01.018.06c | saním medhā́m ayāsiṣam

