01.001.01a | agním īḷe-_ puróhitam
01.003.06a | índra ā́ yāhi tū́tujānaḥ
01.003.06b | úpa bráhmāṇi harivaḥ
01.003.06c | suté-_ dadhiṣva naḥ cánaḥ

01.003.07a | ā́! ūmāsaḥ! carṣaṇīdhr̥taḥ
01.003.07b | víśve?_ devāsaḥ ā́ gata
01.003.07c | dāśvā́ṁsaḥ dāśúṣaḥ sutám

01.003.08a | víśve?_ devā́saḥ aptúraḥ
01.003.08b | sutám ā́ ganta tū́rṇayaḥ
01.003.08c | usrā́ḥ iva svásarāṇi

01.003.09a | víśve?_ devā́saḥ asrídhaḥ
01.003.09b | éhimāyāsaḥ adrúhaḥ
01.003.09c | médham juṣanta váhnayaḥ

01.003.10a | pāvakā́ naḥ sárasvatī-_
01.003.10b | vā́jebhiḥ vājínīvatī?_
01.003.10c | yajñám vaṣṭu dhiyā́vasuḥ

01.003.11a | codayitrī́?_ sūnŕ̥tānām
01.003.11b | cétantī?_ sumatīnā́m
01.003.11c | yajñám dadhe-_ sárasvatī-_

01.003.12a | maháḥ árṇaḥ sárasvatī-_
01.003.12b | prá cetayati ketúnā
01.003.12c | dhíyaḥ víśvāḥ ví rājati

01.004.01a | surūpakr̥tnúm ūtáye-_
01.004.01b | sudúghām iva godúhe?_
01.004.01c | juhūmási dyávi-dyavi

01.004.02a | úpa naḥ sávanā ā́ gahi
01.004.02b | sómasya somapāḥ piba
01.004.02c | godā́ḥ ít revátaḥ mádaḥ

01.004.03a | áthā+ te-_ ántamānām
01.004.03b | vidyā́ma sumatīnā́m
01.004.03c | mā́ naḥ áti khyaḥ ā́ gahi

01.004.04a | párā ihi vígram ástr̥tam
01.004.04b | índram pr̥cchā+ vipaścítam
01.004.04c | yáḥ te-_ sákhibhyaḥ ā́ váram

01.004.05a | utá bruvantu naḥ nídaḥ
01.004.05b | níḥ anyátaḥ cit ārata
01.004.05c | dádhānāḥ índre-_ ít dúvaḥ

01.004.06a | utá naḥ subhágān aríḥ
01.004.06b | vocéyuḥ dasma kr̥ṣṭáyaḥ
01.004.06c | syā́ma ít índrasya śármaṇi

01.004.07a | ā́ īm āśúm āśáve?_ bhara
01.004.07b | yajñaśríyam nr̥mā́danam
01.004.07c | patayát mandayátsakham

01.004.08a | asyá pītvā́ śatakrato
01.004.08b | ghanáḥ vr̥trā́ṇām abhavaḥ
01.004.08c | prá āvaḥ vā́jeṣu vājínam

01.004.09a | tám tvā vā́jeṣu vājínam
01.004.09b | vājáyāmaḥ śatakrato
01.004.09c | dhánānām indra sātáye-_

01.004.10a | yáḥ rāyáḥ avániḥ mahā́n
01.004.10b | supāráḥ sunvatáḥ sákhā
01.004.10c | tásmai índrāya gāyata

01.005.01a | ā́ tú ā́ itā+ ní sīdata
01.005.01b | índram abhí prá gāyata
01.005.01c | sákhāyaḥ stómavāhasaḥ

01.005.02a | purūtámam purūṇā́m
01.005.02b | ī́śānam vā́ryāṇām
01.005.02c | índram sóme-_ sácā suté-_

01.005.03a | sá ghā+ naḥ yóge-_ ā́ bhuvat
01.005.03b | sá rāyé-_ sá púraṁdhyām
01.005.03c | gámat vā́jebhiḥ ā́ sá naḥ

01.005.04a | yásya saṁsthé-_ ná vr̥ṇváte?_
01.005.04b | hárī+_ samátsu śátravaḥ
01.005.04c | tásmai índrāya gāyata

01.005.05a | sutapā́vne?_ sutā́ḥ imé?_
01.005.05b | śúcayaḥ yanti vītáye-_
01.005.05c | sómāsaḥ dádhyāśiraḥ

01.005.06a | tvám sutásya pītáye-_
01.005.06b | sadyáḥ vr̥ddháḥ ajāyathāḥ
01.005.06c | índra jyaíṣṭhyāya sukrato

01.005.07a | ā́ tvā viśantu āśávaḥ
01.005.07b | sómāsaḥ indra girvaṇaḥ
01.005.07c | śám te-_ santu prácetase?_

01.005.08a | tvā́m stómāḥ avīvr̥dhan
01.005.08b | tvā́m ukthā́ śatakrato
01.005.08c | tvā́m vardhantu naḥ gíraḥ

01.005.09a | ákṣitotiḥ sanet imám
01.005.09b | vā́jam índraḥ sahasríṇam
01.005.09c | yásmin víśvāni paúṁsyā

01.005.10a | mā́ naḥ mártāḥ abhí druhan
01.005.10b | tanū́nām indra girvaṇaḥ
01.005.10c | ī́śānaḥ yavayā+ vadhám

01.006.01a | yuñjánti bradhnám aruṣám
01.006.01b | cárantam pári tasthúṣaḥ
01.006.01c | rócante?_ rocanā́ diví

01.006.02a | yuñjánti asya kā́myā
01.006.02b | hárī+_ vípakṣasā ráthe-_
01.006.02c | śóṇā dhr̥ṣṇū́+_ nr̥vā́hasā

01.006.03a | ketúm kr̥ṇván aketáve?_
01.006.03b | péśaḥ maryāḥ apeśáse?_
01.006.03c | sám uṣádbhiḥ ajāyathāḥ

01.006.04a | ā́t áha svadhā́m ánu
01.006.04b | púnar garbhatvám eriré?_
01.006.04c | dádhānāḥ nā́ma yajñíyam

01.006.05a | vīḷú cit ārujatnúbhiḥ
01.006.05b | gúhā cit indra váhnibhiḥ
01.006.05c | ávindaḥ usríyāḥ ánu

01.006.06a | devayántaḥ yáthā matím
01.006.06b | ácchā+ vidádvasum gíraḥ
01.006.06c | mahā́m anūṣata śrutám

01.006.07a | índreṇa sám hí dŕ̥kṣase?_
01.006.07b | saṁjagmānáḥ ábibhyuṣā
01.006.07c | mandū́+_ samānávarcasā

01.006.08a | anavadyaíḥ abhídyubhiḥ
01.006.08b | makháḥ sáhasvat arcati
01.006.08c | gaṇaíḥ índrasya kā́myaiḥ

01.006.09a | átaḥ parijman ā́ gahi
01.006.09b | diváḥ vā rocanā́t ádhi
01.006.09c | sám asmin r̥ñjate-_ gíraḥ

01.006.10a | itáḥ vā sātím ī́mahe-_
01.006.10b | diváḥ vā pā́rthivāt ádhi
01.006.10c | índram maháḥ vā rájasaḥ

01.007.01a | índram ít gāthínaḥ br̥hát
01.007.01b | índram arkébhiḥ arkíṇaḥ
01.007.01c | índram vā́ṇīḥ anūṣata

01.007.02a | índraḥ ít háryoḥ sácā
01.007.02b | sámmiślaḥ ā́ vacoyújā
01.007.02c | índraḥ vajrī́-_ hiraṇyáyaḥ

01.007.03a | índraḥ dīrghā́ya cákṣase-_
01.007.03b | ā́ sū́ryam rohayat diví
01.007.03c | ví góbhiḥ ádrim airayat

01.007.04a | índra vā́jeṣu naḥ ava
01.007.04b | sahásrapradhaneṣu ca
01.007.04c | ugráḥ ugrā́bhiḥ ūtíbhiḥ

01.007.05a | índram vayám mahādhané-_
01.007.05b | índram árbhe-_ havāmahe-_
01.007.05c | yújam vr̥tréṣu vajríṇam

01.007.06a | sá naḥ vr̥ṣan amúm carúm
01.007.06b | sátrādāvan ápā+ vr̥dhi
01.007.06c | asmábhyam ápratiṣkutaḥ

01.007.07a | tuñjé-tuñje?_ yé?_ úttare?_
01.007.07b | stómāḥ índrasya vajríṇaḥ
01.007.07c | ná vindhe?_ asya suṣṭutím

01.007.08a | vŕ̥ṣā yūthā́ iva váṁsagaḥ
01.007.08b | kr̥ṣṭī́ḥ iyarti ójasā
01.007.08c | ī́śānaḥ ápratiṣkutaḥ

01.007.09a | yáḥ ékaḥ carṣaṇīnā́m
01.007.09b | vásūnām irajyáti
01.007.09c | índraḥ páñca kṣitīnā́m

01.007.10a | índram vaḥ viśvátaḥ pári
01.007.10b | hávāmahe-_ jánebhyaḥ
01.007.10c | asmā́kam astu kévalaḥ

01.008.01a | ā́ indra sānasím rayím
01.008.01b | sajítvānam sadāsáham
01.008.01c | várṣiṣṭham ūtáye-_ bhara

01.008.02a | ní yéna muṣṭihatyáyā
01.008.02b | ní vr̥trā́ ruṇádhāmahai
01.008.02c | tvótāsaḥ ní árvatā

01.008.03a | índra tvótāsaḥ ā́ vayám
01.008.03b | vájram ghanā́ḥ! dadīmahi
01.008.03c | jáyema sám yudhí spŕ̥dhaḥ

01.008.04a | vayám śū́rebhiḥ ástr̥bhiḥ
01.008.04b | índra tváyā yujā́ vayám
01.008.04c | sāsahyā́ma pr̥tanyatáḥ

01.008.05a | mahā́n índraḥ paráḥ ca nú
01.008.05b | mahitvám astu vajríṇe-_
01.008.05c | dyaúḥ ná+_ prathinā́ śávaḥ

01.008.06a | samohé?_ vā yé?_ ā́śata
01.008.06b | náraḥ tokásya sánitau
01.008.06c | víprāsaḥ vā dhiyāyávaḥ

01.008.07a | yáḥ kukṣíḥ somapā́tamaḥ
01.008.07b | samudráḥ iva pínvate?_
01.008.07c | urvī́ḥ ā́paḥ ná+_ kākúdaḥ

01.008.08a | evā́+ hí asya sūnŕ̥tā
01.008.08b | virapśī́?_ gómatī?_ mahī́-_
01.008.08c | pakvā́ śā́khā ná+_ dāśúṣe-_

01.008.09a | evā́+ hí te-_ víbhūtayaḥ
01.008.09b | ūtáyaḥ indra mā́vate-_
01.008.09c | sadyáḥ cit sánti dāśúṣe-_

01.008.10a | evā́+ hí asya kā́myā
01.008.10b | stómaḥ ukthám ca śáṁsyā
01.008.10c | índrāya sómapītaye-_

01.009.01a | índra ā́ ihi mátsi ándhasaḥ
01.009.01b | víśvebhiḥ somapárvabhiḥ
01.009.01c | mahā́n abhiṣṭíḥ ójasā

01.009.02a | ā́ īm enam sr̥jatā+ suté-_
01.009.02b | mandím índrāya mandíne?_
01.009.02c | cákrim víśvāni cákraye?_

01.009.03a | mátsvā+ suśipra mandíbhiḥ
01.009.03b | stómebhiḥ viśvacarṣaṇe?_
01.009.03c | sácā eṣú sávaneṣu ā́

01.009.04a | ásr̥gram indra te-_ gíraḥ
01.009.04b | práti tvā́m út ahāsata
01.009.04c | ájoṣāḥ vr̥ṣabhám pátim

01.009.05a | sám codaya citrám arvā́k
01.009.05b | rā́dhaḥ indra váreṇyam
01.009.05c | ásat ít te-_ vibhú prabhú

01.009.06a | asmā́n sú tátra codaya
01.009.06b | índra rāyé-_ rábhasvataḥ
01.009.06c | túvidyumna yáśasvataḥ

01.009.07a | sám gómat indra vā́javat
01.009.07b | asmé?_ pr̥thú śrávaḥ br̥hát
01.009.07c | viśvā́yuḥ dhehi ákṣitam

01.009.08a | asmé?_ dhehi śrávaḥ br̥hát
01.009.08b | dyumnám sahasrasā́tamam
01.009.08c | índra tā́ḥ rathínīḥ íṣaḥ

01.009.09a | vásoḥ índram vásupatim
01.009.09b | gīrbhíḥ gr̥ṇántaḥ r̥gmíyam
01.009.09c | hóma gántāram ūtáye-_

01.009.10a | suté-sute?_ nyo\kase?_
01.009.10b | br̥hát br̥haté-_ ā́ ít aríḥ
01.009.10c | índrāya śūṣám arcati

01.010.01a | gā́yanti tvā gāyatríṇaḥ
01.010.01b | árcanti arkám arkíṇaḥ
01.010.01c | brahmā́ṇaḥ tvā śatakrato
01.010.01d | út vaṁśám iva yemire-_

01.010.02a | yát sā́noḥ sā́num ā́ áruhat
01.010.02b | bhū́ri áspaṣṭa kártvam
01.010.02c | tát índraḥ ártham cetati
01.010.02d | yūthéna vr̥ṣṇíḥ ejati

01.010.03a | yukṣvā́+ hí keśínā hárī+_
01.010.03b | vŕ̥ṣaṇā kakṣyaprā́
01.010.03c | áthā+ naḥ indra somapāḥ
01.010.03d | girā́m úpaśrutim cara

01.010.04a | ā́ ihi stómān abhí svara
01.010.04b | abhí gr̥ṇīhi ā́ ruva
01.010.04c | bráhma ca naḥ vaso sácā
01.010.04d | índra yajñám ca vardhaya

01.010.05a | ukthám índrāya śáṁsyam
01.010.05b | várdhanam puruniṣṣídhe?_
01.010.05c | śakráḥ yáthā sutéṣu naḥ
01.010.05d | rāráṇat sakhyéṣu ca

01.010.06a | tám ít sakhitvé?_ īmahe-_
01.010.06b | tám rāyé-_ tám suvī́rye?_
01.010.06c | sá śakráḥ utá naḥ śakat
01.010.06d | índraḥ vásu dáyamānaḥ

01.010.07a | suvivŕ̥tam sunirájam
01.010.07b | índra tvā́dātam ít yáśaḥ
01.010.07c | gávām ápa vrajám vr̥dhi
01.010.07d | kr̥ṇuṣvá rā́dhaḥ adrivaḥ

01.010.08a | nahí tvā ródasī+_ ubhé+_
01.010.08b | r̥ghāyámāṇam ínvataḥ
01.010.08c | jéṣaḥ sva\rvatīḥ apáḥ
01.010.08d | sám gā́ḥ asmábhyam dhūnuhi

01.010.09a | ā́śrutkarṇa śrudhī́-_+ hávam
01.010.09b | nū́-_+ cit dadhiṣva me-_ gíraḥ
01.010.09c | índra stómam imám máma
01.010.09d | kr̥ṣvā́+ yujáḥ cit ántaram

01.010.10a | vidmā́+ hí tvā vŕ̥ṣantamam
01.010.10b | vā́jeṣu havanaśrútam
01.010.10c | vŕ̥ṣantamasya hūmahe-_
01.010.10d | ūtím sahasrasā́tamām

01.010.11a | ā́ tū́-_+ naḥ indra kauśika
01.010.11b | mandasānáḥ sutám piba
01.010.11c | návyam ā́yuḥ prá sū́-_+ tira
01.010.11d | kr̥dhī́-_+ sahasrasā́m ŕ̥ṣim

01.010.12a | pári tvā girvaṇaḥ gíraḥ
01.010.12b | imā́ḥ bhavantu viśvátaḥ
01.010.12c | vr̥ddhā́yum ánu vŕ̥ddhayaḥ
01.010.12d | júṣṭāḥ bhavantu júṣṭayaḥ

01.011.01a | índram víśvāḥ avīvr̥dhan
01.011.01b | samudrávyacasam gíraḥ
01.011.01c | rathī́tamam rathī́nām
01.011.01d | vā́jānām sátpatim pátim

01.011.02a | sakhyé-_ te-_ indra vājínaḥ
01.011.02b | mā́ bhema śavasaḥ pate-_
01.011.02c | tvā́m abhí prá nonumaḥ
01.011.02d | jétāram áparājitam

01.011.03a | pūrvī́ḥ índrasya rātáyaḥ
01.011.03b | ná ví dasyanti ūtáyaḥ
01.011.03c | yádī-_+ vā́jasya gómataḥ
01.011.03d | stotŕ̥bhyaḥ máṁhate?_ maghám

01.011.04a | purā́m bhindúḥ yúvā kavíḥ
01.011.04b | ámitaujāḥ ajāyata
01.011.04c | índraḥ víśvasya kármaṇaḥ
01.011.04d | dhartā́ vajrī́-_ puruṣṭutáḥ

01.011.05a | tvám valásya gómataḥ
01.011.05b | ápa āvar adrivaḥ bílam
01.011.05c | tvā́m devā́ḥ ábibhyuṣaḥ
01.011.05d | tujyámānāsaḥ āviṣuḥ

01.011.06a | táva ahám śūra rātíbhiḥ
01.011.06b | práti āyam síndhum āvádan
01.011.06c | úpa atiṣṭhanta girvaṇaḥ
01.011.06d | vidúḥ te-_ tásya kārávaḥ

01.011.07a | māyā́bhiḥ indra māyínam
01.011.07b | tvám śúṣṇam áva atiraḥ
01.011.07c | vidúḥ te-_ tásya médhirāḥ
01.011.07d | téṣām śrávāṁsi út tira

01.011.08a | índram ī́śānam ójasā
01.011.08b | abhí stómāḥ anūṣata
01.011.08c | sahásram yásya rātáyaḥ
01.011.08d | utá vā sánti bhū́yasīḥ

01.012.01a | agním dūtám vr̥ṇīmahe-_
01.012.01b | hótāram viśvávedasam
01.012.01c | asyá yajñásya sukrátum

01.012.02a | agním-agnim hávīmabhiḥ
01.012.02b | sádā havanta viśpátim
01.012.02c | havyavā́ham purupriyám

01.012.03a | ágne-_ devā́n ihá ā́ vaha
01.012.03b | jajñānáḥ vr̥ktábarhiṣe?_
01.012.03c | ási hótā naḥ ī́ḍyaḥ

01.012.04a | tā́n uśatáḥ ví bodhaya
01.012.04b | yát agne-_ yā́si dūtya\m
01.012.04c | devaíḥ ā́ satsi barhíṣi

01.012.05a | ghŕ̥tāhavana dīdivaḥ
01.012.05b | práti sma ríṣataḥ daha
01.012.05c | ágne-_ tvám rakṣasvínaḥ

01.012.06a | agnínā agníḥ sám idhyate-_
01.012.06b | kavíḥ gr̥hápatiḥ yúvā
01.012.06c | havyavā́ṭ juhvā\syaḥ

01.012.07a | kavím agním úpa stuhi
01.012.07b | satyádharmāṇam adhvaré-_
01.012.07c | devám amīvacā́tanam

01.012.08a | yáḥ tvā́m agne-_ havíṣpatiḥ
01.012.08b | dūtám deva saparyáti
01.012.08c | tásya sma prāvitā́ bhava

01.012.09a | yáḥ agním devávītaye-_
01.012.09b | havíṣmān āvívāsati
01.012.09c | tásmai pāvaka mr̥ḷaya

01.012.10a | sá naḥ pāvaka dīdivaḥ
01.012.10b | ágne-_ devā́n ihá ā́ vaha
01.012.10c | úpa yajñám havíḥ ca naḥ

01.012.11a | sá naḥ stávānaḥ ā́ bhara
01.012.11b | gāyatréṇa návīyasā
01.012.11c | rayím vīrávatīm íṣam

01.012.12a | ágne-_ śukréṇa śocíṣā
01.012.12b | víśvābhiḥ deváhūtibhiḥ
01.012.12c | imám stómam juṣasva naḥ

01.013.01a | súsamiddhaḥ naḥ ā́ vaha
01.013.01b | devā́n agne-_ havíṣmate?_
01.013.01c | hótar pāvaka yákṣi ca

01.013.02a | mádhumantam tanūnapāt
01.013.02b | yajñám devéṣu naḥ kave-_
01.013.02c | adyā́+ kr̥ṇuhi vītáye-_

01.013.03a | nárāśáṁsam ihá priyám
01.013.03b | asmín yajñé-_ úpa hvaye-_
01.013.03c | mádhujihvam haviṣkŕ̥tam

01.013.04a | ágne-_ sukhátame?_ ráthe-_
01.013.04b | devā́n īḷitáḥ ā́ vaha
01.013.04c | ási hótā mánurhitaḥ

01.013.05a | str̥ṇītá barhíḥ ānuṣák
01.013.05b | ghr̥tápr̥ṣṭham manīṣiṇaḥ
01.013.05c | yátra amŕ̥tasya cákṣaṇam

01.013.06a | ví śrayantām r̥tāvŕ̥dhaḥ
01.013.06b | dvā́raḥ devī́ḥ asaścátaḥ
01.013.06c | adyā́+ nūnám ca yáṣṭave?_

01.013.07a | náktoṣā́sā supéśasā
01.013.07b | asmín yajñé-_ úpa hvaye-_
01.013.07c | idám naḥ barhíḥ āsáde-_

01.013.08a | tā́ sujihvaú úpa hvaye-_
01.013.08b | hótārā daívyā kavī́+_
01.013.08c | yajñám naḥ yakṣatām imám

01.013.09a | íḷā sárasvatī-_ mahī́-_
01.013.09b | tisráḥ devī́ḥ mayobhúvaḥ
01.013.09c | barhíḥ sīdantu asrídhaḥ

01.013.10a | ihá tváṣṭāram agriyám
01.013.10b | viśvárūpam úpa hvaye-_
01.013.10c | asmā́kam astu kévalaḥ

01.013.11a | áva sr̥jā+ vanaspate-_
01.013.11b | déva devébhyaḥ havíḥ
01.013.11c | prá dātúḥ astu cétanam

01.013.12a | svā́hā yajñám kr̥ṇotana
01.013.12b | índrāya yájvanaḥ gr̥hé-_
01.013.12c | tátra devā́n úpa hvaye-_

01.014.01a | ā́ ebhiḥ agne-_ dúvaḥ gíraḥ
01.014.01b | víśvebhiḥ sómapītaye-_
01.014.01c | devébhiḥ yāhi yákṣi ca

01.014.02a | ā́ tvā káṇvāḥ ahūṣata
01.014.02b | gr̥ṇánti vipra te-_ dhíyaḥ
01.014.02c | devébhiḥ agne-_ ā́ gahi

01.014.03a | indravāyū́+_ bŕ̥haspátim
01.014.03b | mitrā́ agním pūṣáṇam bhágam
01.014.03c | ādityā́n mā́rutam gaṇám

01.014.04a | prá vaḥ bhriyante?_ índavaḥ
01.014.04b | matsarā́ḥ mādayiṣṇávaḥ
01.014.04c | drapsā́ḥ mádhvaḥ camūṣádaḥ

01.014.05a | ī́ḷate-_ tvā́m avasyávaḥ
01.014.05b | káṇvāsaḥ vr̥ktábarhiṣaḥ
01.014.05c | havíṣmantaḥ araṁkŕ̥taḥ

01.014.06a | ghr̥tápr̥ṣṭhāḥ manoyújaḥ
01.014.06b | yé?_ tvā váhanti váhnayaḥ
01.014.06c | ā́ devā́n sómapītaye-_

01.014.07a | tā́n yájatrān r̥tāvŕ̥dhaḥ
01.014.07b | ágne-_ pátnīvataḥ kr̥dhi
01.014.07c | mádhvaḥ sujihva pāyaya

01.014.08a | yé?_ yájatrāḥ yé?_ ī́ḍyāḥ
01.014.08b | té?_ te-_ pibantu jihváyā
01.014.08c | mádhoḥ agne-_ váṣaṭkr̥ti

01.014.09a | ā́kīm sū́ryasya rocanā́t
01.014.09b | víśvān devā́n uṣarbúdhaḥ
01.014.09c | vípraḥ hótā ihá vakṣati

01.014.10a | víśvebhiḥ somyám mádhu
01.014.10b | ágne-_ índreṇa vāyúnā
01.014.10c | píbā+ mitrásya dhā́mabhiḥ

01.014.11a | tvám hótā mánurhitaḥ
01.014.11b | ágne-_ yajñéṣu sīdasi
01.014.11c | sá imám naḥ adhvarám yaja

01.014.12a | yukṣvā́+ hí áruṣīḥ ráthe-_
01.014.12b | harítaḥ deva rohítaḥ
01.014.12c | tā́bhiḥ devā́n ihá ā́ vaha

01.015.01a | índra sómam píba r̥túnā
01.015.01b | ā́ tvā viśantu índavaḥ
01.015.01c | matsarā́saḥ tádokasaḥ

01.015.02a | márutaḥ píbata r̥túnā
01.015.02b | potrā́t yajñám punītana
01.015.02c | yūyám hí sthā́+ sudānavaḥ

01.015.03a | abhí yajñám gr̥ṇīhi naḥ
01.015.03b | gnā́vaḥ néṣṭar píba r̥túnā
01.015.03c | tvám hí ratnadhā́ḥ ási

01.015.04a | ágne-_ devā́n ihá ā́ vaha
01.015.04b | sādáyā+ yóniṣu triṣú
01.015.04c | pári bhūṣa píba r̥túnā

01.015.05a | brā́hmaṇāt indra rā́dhasaḥ
01.015.05b | píbā+ sómam r̥tū́n ánu
01.015.05c | táva ít hí sakhyám ástr̥tam

01.015.06a | yuvám dákṣam dhr̥tavratā
01.015.06b | mítrāvaruṇā dūḷábham
01.015.06c | r̥túnā yajñám āśāthe-_

01.015.07a | draviṇodā́ḥ dráviṇasaḥ
01.015.07b | grā́vahastāsaḥ adhvaré-_
01.015.07c | yajñéṣu devám īḷate-_

01.015.08a | draviṇodā́ḥ dadātu naḥ
01.015.08b | vásūni yā́ni śr̥ṇviré?_
01.015.08c | devéṣu tā́ vanāmahe?_

01.015.09a | draviṇodā́ḥ pipīṣati
01.015.09b | juhóta prá ca tiṣṭhata
01.015.09c | neṣṭrā́t r̥túbhiḥ iṣyata

01.015.10a | yát tvā turī́yam r̥túbhiḥ
01.015.10b | dráviṇodaḥ yájāmahe?_
01.015.10c | ádha smā+ naḥ dadíḥ bhava

01.015.11a | áśvinā píbatam mádhu
01.015.11b | dī́dyagnī+_ śucivratā
01.015.11c | r̥túnā yajñavāhasā

01.015.12a | gā́rhapatyena santya
01.015.12b | r̥túnā yajñanī́ḥ asi
01.015.12c | devā́n devayaté?_ yaja

01.016.01a | ā́ tvā vahantu hárayaḥ
01.016.01b | vŕ̥ṣaṇam sómapītaye-_
01.016.01c | índra tvā sū́racakṣasaḥ

01.016.02a | imā́ḥ dhānā́ḥ ghr̥tasnúvaḥ
01.016.02b | hárī+_ ihá úpa vakṣataḥ
01.016.02c | índram sukhátame?_ ráthe-_

01.016.03a | índram prātár havāmahe-_
01.016.03b | índram prayatí adhvaré-_
01.016.03c | índram sómasya pītáye-_

01.016.04a | úpa naḥ sutám ā́ gahi
01.016.04b | háribhiḥ indra keśíbhiḥ
01.016.04c | suté-_ hí tvā hávāmahe-_

01.016.05a | sá imám naḥ stómam ā́ gahi
01.016.05b | úpa idám sávanam sutám
01.016.05c | gauráḥ ná+_ tr̥ṣitáḥ piba

01.016.06a | imé?_ sómāsaḥ índavaḥ
01.016.06b | sutā́saḥ ádhi barhíṣi
01.016.06c | tā́n indra sáhase-_ piba

01.016.07a | ayám te-_ stómaḥ agriyáḥ
01.016.07b | hr̥dispŕ̥k astu śáṁtamaḥ
01.016.07c | áthā+ sómam sutám piba

01.016.08a | víśvam ít sávanam sutám
01.016.08b | índraḥ mádāya gacchati
01.016.08c | vr̥trahā́ sómapītaye-_

01.016.09a | sá imám naḥ kā́mam ā́ pr̥ṇa
01.016.09b | góbhiḥ áśvaiḥ śatakrato
01.016.09c | stávāma tvā svādhya\ḥ

01.017.01a | índrāváruṇayoḥ ahám
01.017.01b | samrā́joḥ ávaḥ ā́ vr̥ṇe-_
01.017.01c | tā́ naḥ mr̥ḷātaḥ īdŕ̥śe?_

01.017.02a | gántārā hí stháḥ ávase-_
01.017.02b | hávam víprasya mā́vataḥ
